data_copa,time_a,time_b,placar,gols_do_time_da_casa,gols_do_time_da_fora,saldo_gols_do_time_da_casa,saldo_gols_do_time_da_fora,teve_prorrogacao,foi_para_penaltis,placar_penaltis,gols_do_time_da_casa_penaltis,gols_do_time_da_fora_penaltis,time_da_casa_vencedor,time_da_fora_vencedor,empatou,sede,vencedor_copa,sede_vencedor,qtd_times_parcticipantes
1958,Paraguay,Scotland,3Ð2,3,2,1,-1,0,0,0-0,0,0,1,0,0,Sweden,Brazil,0,16
1958,Yugoslavia,France,3Ð2,3,2,1,-1,0,0,0-0,0,0,1,0,0,Sweden,Brazil,0,16
1958,Mexico,Wales,1Ð1,1,1,0,0,0,0,0-0,0,0,0,0,1,Sweden,Brazil,0,16
1958,Brazil,England,0Ð0,0,0,0,0,0,0,0-0,0,0,0,0,1,Sweden,Brazil,0,16
1958,Soviet Union,Austria,2Ð0,2,0,2,-2,0,0,0-0,0,0,1,0,0,Sweden,Brazil,0,16
1958,Sweden,Hungary,2Ð1,2,1,1,-1,0,0,0-0,0,0,1,0,0,Sweden,Brazil,0,16
1958,Sweden,Wales,0Ð0,0,0,0,0,0,0,0-0,0,0,0,0,1,Sweden,Brazil,0,16
1958,Czechoslovakia,Argentina,6Ð1,6,1,5,-5,0,0,0-0,0,0,1,0,0,Sweden,Brazil,0,16
1958,West Germany,Northern Ireland,2Ð2,2,2,0,0,0,0,0-0,0,0,0,0,1,Sweden,Brazil,0,16
1958,France,Scotland,2Ð1,2,1,1,-1,0,0,0-0,0,0,1,0,0,Sweden,Brazil,0,16
1958,Paraguay,Yugoslavia,3Ð3,3,3,0,0,0,0,0-0,0,0,0,0,1,Sweden,Brazil,0,16
1958,Hungary,Mexico,4Ð0,4,0,4,-4,0,0,0-0,0,0,1,0,0,Sweden,Brazil,0,16
1958,Brazil,Soviet Union,2Ð0,2,0,2,-2,0,0,0-0,0,0,1,0,0,Sweden,Brazil,0,16
1958,England,Austria,2Ð2,2,2,0,0,0,0,0-0,0,0,0,0,1,Sweden,Brazil,0,16
1958,Northern Ireland,Czechoslovakia,2Ð1,2,1,1,-1,1,0,0-0,0,0,1,0,0,Sweden,Brazil,0,16
1958,Wales,Hungary,2Ð1,2,1,1,-1,0,0,0-0,0,0,1,0,0,Sweden,Brazil,0,16
1958,Soviet Union,England,1Ð0,1,0,1,-1,0,0,0-0,0,0,1,0,0,Sweden,Brazil,0,16
1958,Brazil,Wales,1Ð0,1,0,1,-1,0,0,0-0,0,0,1,0,0,Sweden,Brazil,0,16
1958,France,Northern Ireland,4Ð0,4,0,4,-4,0,0,0-0,0,0,1,0,0,Sweden,Brazil,0,16
1958,Sweden,Soviet Union,2Ð0,2,0,2,-2,0,0,0-0,0,0,1,0,0,Sweden,Brazil,0,16
1958,West Germany,Yugoslavia,1Ð0,1,0,1,-1,0,0,0-0,0,0,1,0,0,Sweden,Brazil,0,16
1958,Brazil,France,5Ð2,5,2,3,-3,0,0,0-0,0,0,1,0,0,Sweden,Brazil,0,16
1958,Sweden,West Germany,3Ð1,3,1,2,-2,0,0,0-0,0,0,1,0,0,Sweden,Brazil,0,16
1958,France,West Germany,6Ð3,6,3,3,-3,0,0,0-0,0,0,1,0,0,Sweden,Brazil,0,16
1958,Brazil,Sweden,5Ð2,5,2,3,-3,0,0,0-0,0,0,1,0,0,Sweden,Brazil,0,16
1962,Uruguay,Colombia,2Ð1,2,1,1,-1,0,0,0-0,0,0,1,0,0,Chile,Brazil,0,16
1962,Chile,Switzerland,3Ð1,3,1,2,-2,0,0,0-0,0,0,1,0,0,Chile,Brazil,0,16
1962,Brazil,Mexico,2Ð0,2,0,2,-2,0,0,0-0,0,0,1,0,0,Chile,Brazil,0,16
1962,Argentina,Bulgaria,1Ð0,1,0,1,-1,0,0,0-0,0,0,1,0,0,Chile,Brazil,0,16
1962,Soviet Union,Yugoslavia,2Ð0,2,0,2,-2,0,0,0-0,0,0,1,0,0,Chile,Brazil,0,16
1962,West Germany,Italy,0Ð0,0,0,0,0,0,0,0-0,0,0,0,0,1,Chile,Brazil,0,16
